rec_id,uni_id,uni_name,dept_id,dept_name,description,rec_url,date_created,date_modified,user_rating,tags,rec_content
1,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/Pages/default.aspx,,,,,Career Advising — main landing page with links to Career Communities; Career Coaching & Resume Reviews; Alumni Career Services (DePaul University Resources)
2,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/Pages/default.aspx,,,,,"Career Communities — outlines six industry-based communities: Exploring Careers & Interests; Business & Entrepreneurship; Education, Human Services & Government; Health & Science; Media, Arts & Entertainment; Technology & Data (DePaul University Resources)"
3,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/Pages/drop-in-coaching.aspx,,,,,"Career Coaching & Resume Reviews — details drop‑in career chat, asynchronous resume/LinkedIn reviews, and scheduling appointments (in-person, virtual, phone) through Handshake (DePaul University Resources)"
4,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/alumni-career-services/Pages/default.aspx,,,,,"Alumni Career Services — described on main page as part of advising: access to services for alumni to reach career goals (part of the triad with Communities and Coaching) (DePaul University Resources, DePaul University Resources)"
5,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/exploring-careers-interests/Pages/default.aspx,,,,,"Exploring Careers & Interests Community – Supports students/alumni in assessing values, interests, personality and skills (VIPS model); offers PDF tools (e.g. Make a Career Plan, Self‑Assessment, Career Pivot); 2‑credit exploratory CLD courses (CLD 200–215); links to ASK network; career course offerings; advisor contact (Ed Childs) (resources.depaul.edu)"
6,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/exploring-careers-interests/Pages/career-guides-by-major.aspx,,,,,"Career Guides by Major – “What Can I Do With a Major In” guides: show how majors relate to career paths, employers, strategies; includes a long list of specific majors (e.g., Accounting, Anthropology, Computer Science, Physics, Sociology) (resources.depaul.edu)"
7,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/business-entrepreneurship-consulting/Pages/default.aspx,,,,,"Business & Entrepreneurship Community – Supports students/alumni interested in strategy, leadership, operations, finance, consulting, and business development, with advising, events, and networking resources (DePaul University Resources)"
8,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/business-entrepreneurship-consulting/Pages/accounting-audit-compliance.aspx,,,,,"Accounting, Audit and Compliance – For those interested in organizing financial information, ensuring ethical compliance; highlights entry-level roles like accountant, tax associate, and professional organizations (e.g. AICPA) (DePaul University Resources)"
9,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/business-entrepreneurship-consulting/Pages/banking-and-financial-Services.aspx,,,,,"Banking and Financial Services – Covers managing wealth, loans, investment advising, risk analysis; includes roles such as financial analyst, personal banker; lists relevant associations like NABE, AFP (DePaul University Resources)"
10,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/business-entrepreneurship-consulting/Pages/human-resources-and-talent-management.aspx,,,,,"Human Resources and Talent Management – Focuses on workforce training, DEIB coordination, recruiting; sample entry-level jobs and professional association links (e.g. SHRM) (DePaul University Resources)"
11,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/business-entrepreneurship-consulting/Pages/logistics-and-operations.aspx,,,,,Logistics and Operations – Emphasizes process efficiency and resource optimization; lists entry points like operations analyst; includes skills and industry bodies (e.g. CSCMP) (DePaul University Resources)
12,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/business-entrepreneurship-consulting/Pages/management-and-organizational-leadership.aspx,,,,,"Management and Organizational Leadership – Examines strategy, interpersonal dynamics and organizational behavior; suggests roles like management trainee or conflict analyst; notes AMA membership (DePaul University Resources)"
13,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/technology-design/Pages/default.aspx,,,,,"Technology & Data Community – Targets areas such as web/app development, cybersecurity, UX, data analysis and info‑management; provides career planning, advising, and community connections (DePaul University Resources)"
14,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/technology-design/Pages/data-analytics.aspx,,,,,"Data Analytics – Focuses on analyzing large datasets, predictive modeling, using tools like Python, SQL, Tableau; sample titles include Data Analyst, BI Analyst; lists student groups and meetups (DePaul University Resources)"
15,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/technology-design/Pages/information-management.aspx,,,,,"Information Management – Centers on capturing, organizing, and delivering information across formats and channels; includes professional orgs in IM (DePaul University Resources)"
16,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/technology-design/Pages/networking-and-security.aspx,,,,,"Networking & Security – Covers protecting digital assets, cybersecurity practices, job roles such as Info Sec Engineer, lists certs and groups like ISSA, WiCyS (DePaul University Resources)"
17,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/technology-design/Pages/web-app-and-software-development.aspx,,,,,"Web, App and Software Development – Explores software/app building, front/back-end roles, evolving CS field; gives advice on professional groups like ACM, IEEE (DePaul University Resources)"
18,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/technology-design/Pages/design-and-ux.aspx,,,,,"Design & UX – Focuses on creative and functional design roles like UI/UX designer, information architect; includes portfolio & resume advice, student orgs and associations (DePaul University Resources)"
19,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/education-nonprofit-gov/Pages/default.aspx,,,,,"Education, Human Services & Government Community – Supports students exploring nonprofits, policy, teaching, counseling, museums, human services, law enforcement, and higher education; emphasizes community engagement and social impact (DePaul University Resources, DePaul University Resources)"
20,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/education-nonprofit-gov/Pages/Nonprofits%2C%20Philanthropy%2C%20%26%20NGOs.aspx,,,,,"Nonprofits & Non‑governmental Organizations (NGOs) – Focuses on roles in charitable, cultural, religious, and political organizations; internships in outreach, development, program management; resources like Handshake, Idealist (DePaul University Resources)"
21,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/education-nonprofit-gov/Pages/International-Relations.aspx,,,,,"International Relations – Prepares for refugee studies, NGO and cross‑cultural work; includes link to DePaul’s Refugee & Forced Migration Studies program—the first such graduate program in the U.S. (DePaul University Resources)"
22,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/education-nonprofit-gov/Pages/Museums-and-Cultural-Institutions.aspx,,,,,"Museums and Cultural Institutions – Entry-level roles in education, programming, fundraising, operations in museums or cultural spaces; includes Chicago-specific resources and internship/job guides (DePaul University Resources)"
23,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/education-nonprofit-gov/Pages/Public-Policy-and-Civil-Service.aspx,,,,,Policy & Public Service – Encourages careers influencing social policy and civic engagement in government; includes info on employer hires and federal resume guides (DePaul University Resources)
24,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/education-nonprofit-gov/Pages/Teaching-and-Instruction.aspx,,,,,"Teaching & Instruction – Focuses on K‑12 education, classroom instruction and leadership; includes licensure resources, resume and cover letter tools tailored for education careers (DePaul University Resources)"
25,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/education-nonprofit-gov/Pages/Human-Services-and-Social-Work.aspx,,,,,"Human Services & Social Work – Career paths working with families, marginalized populations, and community services; highlights support roles in non-profit and public sectors (DePaul University Resources)"
26,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/health-care-science/Pages/default.aspx,,,,,"Health & Science Community – Serves students/alumni interested in clinical health, environmental science, lab research, health policy, biotech and public health roles; collaborating with Pre‑Health Advising (DePaul University Resources)"
27,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/health-care-science/Pages/Clinical-Professions.aspx,,,,,"Clinical Health Professions – Information about pre-health advising, clinical roles (e.g. physician, therapist, vet, etc.), and bioscience career pathways (DePaul University Resources)"
28,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/health-care-science/Pages/Public-Health%2C-Global-Health%2C-%26-Health-Policy.aspx,,,,,"Public Health & Health Promotion – Highlights careers in health education, disease prevention, global health, and policy; includes internships and Chicagoland health organizations (DePaul University Resources)"
29,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/health-care-science/Pages/Scientific-%26-Lab-Research.aspx,,,,,"Scientific & Lab Research – Covers research careers across disciplines (biology, chemistry, neuroscience, sociology, environmental science); emphasizes internships and lab-based training in Chicago-area organizations (DePaul University Resources)"
30,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/health-care-science/Pages/Environment%2C-Energy%2C-%26-Sustainability.aspx,,,,,"Environment, Energy & Sustainability – Explores careers in environmental science, sustainability, and energy; includes roles across sectors and local company/institution listings (DePaul University Resources)"
31,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/media-communication-entertainment/Pages/default.aspx,,,,,"Media, Arts & Entertainment Community – Focus for students interested in creative and communicative professions, including journalism, advertising, production, arts administration, digital marketing (DePaul University Resources, DePaul University Resources)"
32,1,DePaul University,0,null,Career Advising,https://resources.depaul.edu/career-center/career-advising/communities/media-communication-entertainment/Pages/advertising-public-relations.aspx,,,,,"Advertising & Public Relations – Emphasizes writing campaigns, media relations and creative roles; covers agency/in-house options across industries like fashion, sports, healthcare, events (DePaul University Resources)"
